RUBRO,NOMBRE_FANTASIA,DIRECCION,NUMERO,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABITACIONES,PLAZAS,TITULAR,E-MAIL,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
HOTEL,"PARK HYATT MENDOZA, HOTEL, CASINO & SPA",CHILE,1124,CIUDAD,CAPITAL,4411234/5,HOTEL,5 ESTRELLAS,INSCRIPTO,186,367.0,NUEVO PLAZA HOTEL MENDOZA S.A.,phmendoza@hyattintl.com www.mendoza.park.hyatt.com,"HOTEL PARK HYATT MENDOZA, HOTEL, CASINO & SPA CIUDAD CAPITAL MENDOZA",-32.8890975,-68.8458876,1
HOTEL,CERVANTES,AMIGORENA,S/N,CIUDAD,CAPITAL,5200446/5200400,HOTEL,3 ESTRELLAS,INSCRIPTO,60,150.0,CERVANTES S.A.C.I.A,reservas@hotelcervantes.com.ar,HOTEL CERVANTES CIUDAD CAPITAL MENDOZA,-32.8921184,-68.8388066,1
HOTEL,GRAND HOTEL BALBI,AV.LAS HERAS,340,CIUDAD,CAPITAL,4233500/3610/3442,HOTEL,3 ESTRELLAS,INSCRIPTO,108,250.0,"TUBERT, AARON S.A.",reservas@hotelbalbi.com.ar,HOTEL GRAND HOTEL BALBI CIUDAD CAPITAL MENDOZA,-32.8856805,-68.8426748,1
CABAÑAS,LA HORQUETA,RUTA 173,KM10,CAÃÂ¥ON DEL ATUEL,SAN RAFAEL,156643802,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,29,114.0,"TOLEDO, SANTIAGO BENJAMIN",horqueta@infovia.com.ar,CABAÃÂ¥AS LA HORQUETA CAÃÂ¥ON DEL ATUEL SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,CASITA SUIZA,LAS HERAS,S/N,USPALLATA,LAS HERAS,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MOLINA, RODRIGO",,ALOJAMIENTO CASITA SUIZA USPALLATA LAS HERAS MENDOZA,-32.5911573,-69.347035,1
HOTEL,ARIOSTO,I.M.DE SAN MARTIN,48,CIUDAD,CAPITAL,4293051,HOTEL,3 ESTRELLAS,INSCRIPTO,40,100.0,"ARIOSTO, PEDRO PABLO",hotelarisoto@pabloariosto.com - ariosto@infovÃÂ¡a.com.ar,HOTEL ARIOSTO CIUDAD CAPITAL MENDOZA,-32.8956863,-68.8414947,1
HOTEL,RITZ,PERU,1008,CIUDAD,CAPITAL,4235115,HOTEL,3 ESTRELLAS,INSCRIPTO,36,102.0,GRUPO Q S.A.,info@ritzhotelmendoza.com.ar www.ritzhotelmendoza.com.ar,HOTEL RITZ CIUDAD CAPITAL MENDOZA,-32.8980905,-68.8500648,1
CABAÑAS,ALTOS DEL VALLE,AV.DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,4293153-155089105-155081246,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,4,32.0,"SUAREZ, GALLINA",altosdelvalle@hotmail.com,CABAÃÂ¥AS ALTOS DEL VALLE POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
HOTEL,NUEVO HOTEL SAN FRANCISCO,PUEYRREDON,2665,CHACRAS DE CORIA,LUJAN DE CUYO,4960110,HOTEL,3 ESTRELLAS,INSCRIPTO,38,76.0,BROTHERHOOD S.A,hotelsanfranciscochacras@gmail.com,HOTEL NUEVO HOTEL SAN FRANCISCO CHACRAS DE CORIA LUJAN DE CUYO MENDOZA,-32.9925982,-68.8935114,1
ALOJAMIENTO,HOSTEL KATMANDU,RUFINO ORTEGA,158,CIUDAD,MALARGUE,260-4414899,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,20.0,"SAVEDRA, AMANDA LAURA",asavedra08@gmail.com,ALOJAMIENTO HOSTEL KATMANDU CIUDAD MALARGUE MENDOZA,-35.4673266,-69.5817005,2
HOTEL,MILENA,PJE.BABILONIA,17,CIUDAD,CAPITAL,4200284/4202490,HOTEL,2 ESTRELLAS,INSCRIPTO,20,50.0,"ZANGOLI, MILENA",hotelmilena@speedy.com.ar www.milenahotel.com.ar,HOTEL MILENA CIUDAD CAPITAL MENDOZA,-32.8946706,-68.8369226,1
ALOJAMIENTO,CITY,GRAL.PAZ,95,CIUDAD,CAPITAL,0261-4252572,ALOJAMIENTO,SIN CATEGORIZAR,E/T,21,56.0,"VAZQUEZ, ANALIA",nuevohotelcity@gmail.com,ALOJAMIENTO CITY CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
HOSPEDAJE,WINDSOR,NECOCHEA,675,CIUDAD,CAPITAL,4230855,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,18,40.0,"ZOGBI, DAVID PAULO",windsorhotelmendoza@gmail.com,HOSPEDAJE WINDSOR CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
HOTEL,ACONCAGUA,SAN LORENZO,545,CIUDAD,CAPITAL,5200500,HOTEL,4 ESTRELLAS,INSCRIPTO,159,320.0,SUNSET PORT. S.A.,info@raicesdelpalta.com,HOTEL ACONCAGUA CIUDAD CAPITAL MENDOZA,-32.89235,-68.8471768,1
ALOJAMIENTO,SAN JOSE,PASO DE LOS ANDES,125,CIUDAD,GRAL.ALVEAR,02625-423184,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,24.0,"GALERA, SILVIA JOSEFA",,ALOJAMIENTO SAN JOSE CIUDAD GRAL.ALVEAR MENDOZA,-34.9845992,-67.6745505,0
HOTEL,MARINA REAL,9 DE JULIO,1550,CIUDAD,CAPITAL,4380522/4381492,HOTEL,1 ESTRELLA,INSCRIPTO,70,140.0,MARINA REAL S.A. (APODERADO ALFONSO ALONSO),marinareal@infovia.com.ar,HOTEL MARINA REAL CIUDAD CAPITAL MENDOZA,-32.88583,-68.8437318,1
HOSPEDAJE,CASA DEL MAESTRO,PELLEGRINI,40,CIUDAD,SAN RAFAEL,0260-4422474,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,9,24.0,"NIETO, ROSA BURGOS (REPRESENTANTE)",,HOSPEDAJE CASA DEL MAESTRO CIUDAD SAN RAFAEL MENDOZA,-34.6152869,-68.330895,0
HOTEL,AMERICA,AV.JUAN B.JUSTO,812,CIUDAD,CAPITAL,4256514,HOTEL,2 ESTRELLAS,INSCRIPTO,36,100.0,VISIGIRO SRL,info@hotelamericamza.com.ar,HOTEL AMERICA CIUDAD CAPITAL MENDOZA,-32.8837553,-68.8598206,1
HOTEL,ALBERDI,ALBERDI,55,CIUDAD,CAPITAL,4234110-4257022,HOTEL,1 ESTRELLA,INSCRIPTO,18,45.0,"ZAPATERO, BIENVENIDO SUCES.",,HOTEL ALBERDI CIUDAD CAPITAL MENDOZA,-32.8878316,-68.8277222,1
ALOJAMIENTO,VIENA,LAS HERAS,240,USPALLATA,LAS HERAS,,SIN CATEGORIZAR,SIN CATEGORIZAR,,10,20.0,"TKACZEK,PRÃ SPERO",,ALOJAMIENTO VIENA USPALLATA LAS HERAS MENDOZA,-32.5910827,-69.3478836,1
APART-HOTEL,GEMINIS,RUTA 222,S/N,LAS LEÃÂ¥AS,MALARGUE,011-43938031,APART-HOTEL,1 ESTRELLA,INSCRIPTO,34,110.0,ALTA MONTAÃÂ¥A S.A.,,APART-HOTEL GEMINIS LAS LEÃÂ¥AS MALARGUE MENDOZA,-35.484462,-69.5797495,2
HOTEL,SAN MARTIN,ESPEJO,435,CIUDAD,CAPITAL,43800875,HOTEL,3 ESTRELLAS,INSCRIPTO,37,93.0,SAN MARTIN S.R.L.,hotelsanmartinmendoza@gmail.com,HOTEL SAN MARTIN CIUDAD CAPITAL MENDOZA,-32.8883669,-68.8447471,1
HOTEL,ROSARIO,CHILE,1579,CIUDAD,CAPITAL,4254765,HOTEL,2 ESTRELLAS,INSCRIPTO,32,80.0,"MANONI,PRIMITO",resevas@hotelrosariomendoza.com.ar,HOTEL ROSARIO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
HOTEL,CAROLLO,25 DE MAYO,1184,CIUDAD,CAPITAL,4235666,HOTEL,3 ESTRELLAS,INSCRIPTO,50,115.0,"MURATTI, CLAUDIO-SERVICIOS TURÃÂSTICOS S.R.L",reservas@hotelcarollo.com,HOTEL CAROLLO CIUDAD CAPITAL MENDOZA,-32.8882366,-68.8470804,1
HOTEL,PANAMERICANO,ADOLFO CALLE,895,DORREGO,GUAYMALLEN,4312226/4312168,HOTEL,2 ESTRELLAS,INSCRIPTO,20,42.0,"SCARFICCIA, DARIO",info@hotelpanamericanomz.com.ar www.hotelpanamericanomz.com.ar,HOTEL PANAMERICANO DORREGO GUAYMALLEN MENDOZA,-32.9000773,-68.8261029,1
CABAÑAS,EL PARAISO DEL VALLE,RUTA 173,KM.24,VALLE GRANDE,SAN RAFAEL,0260-4420634-154661331,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,2,12.0,"SAMOS, ROSA ESTHER Y BALDINI ARDUINO",,CABAÃÂ¥AS EL PARAISO DEL VALLE VALLE GRANDE SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
HOTEL,GRAN HOTEL USPALLATA,RUTA 7,KM.1149,USPALLATA,LAS HERAS,02624-420003/066/067,HOTEL,3 ESTRELLAS,INSCRIPTO,76,220.0,ALTA TECNOLOGIA ALIMENTARIA S.A.,recepcionuspa@atahoteleria.com.ar www.atahoteleria.com.ar,HOTEL GRAN HOTEL USPALLATA USPALLATA LAS HERAS MENDOZA,-32.5861846,-69.3534053,1
HOTEL,CRISTAL,RIOJA,1776,CIUDAD,CAPITAL,4234696-4255579,HOTEL,1 ESTRELLA,INSCRIPTO,22,45.0,"QUINTEROS, EDUARDO",hotelcristal1776@hotamil.com,HOTEL CRISTAL CIUDAD CAPITAL MENDOZA,-32.8826303,-68.8354091,1
HOTEL,CASINO,GUTIERREZ,688,CIUDAD,CAPITAL,4256666,HOTEL,1 ESTRELLA,INSCRIPTO,16,40.0,"ORTIZ, MIGUEL",nuevohotelcasino@hotmail.com,HOTEL CASINO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
