NOMBRE_BODEGA,DIRECCION_BODEGA,NUMERO_BODEGA,LOCALIDAD_BODEGA,DEPARTAMENTO_BODEGA,TELEFONO_BODEGA,TITULAR_BODEGA,CORREO_BODEGA,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
VISTANDES BODEGAS &VIÂ¥EDOS,RUTA 60 Y URQUIZA,S/N,CRUZ DE PIEDRA,MAIPU,5246214,VISTANDES S.A.,info@vistande.com,VISTANDES BODEGAS &VIÂ¥EDOS MAIPU MENDOZA,-33.0247576,-68.7585245,1
BODEGA NAVARRO CORREAS,CARRIL RODRIGUEZ PEÂ¥A,1550,,GODOY CRUZ,4315988,DIAGEO ARGENTINA S.A.,,BODEGA NAVARRO CORREAS GODOY CRUZ MENDOZA,-32.9238339,-68.8179404,1
BODEGA DON BOSCO,RUTA PROVINCIAL 50,6722,RODEO DEL MEDIO,MAIPU,4951120,INSTITUCION SALESIANA SAN FRANCISCO SOLANO,,BODEGA DON BOSCO MAIPU MENDOZA,-32.9927876,-68.6816023,1
BENVENUTO DE LA SERNA,ESPAÂ¥A,850,CAPITAL,CAPITAL,4200782,CALLE DI BOASI S.A.,,BENVENUTO DE LA SERNA CAPITAL MENDOZA,-32.8928435,-68.8427841,1
BODEGAS LOPEZ,OZAMIS,375,GRAL.GUITIERREZ,MAIPU,4972406,BODEGASY VIÂ¥EDOS LOPEZ SAIC,lopezmza@bodegaslopez.com.ar,BODEGAS LOPEZ MAIPU MENDOZA,-32.9626176,-68.7841941,1
PIATTELLI VINEYARDS,COBOS,S/N,AGRELO,LUJAN DE CUYO,0,ARTEL INC,florenciaberengua@gmail.com,PIATTELLI VINEYARDS LUJAN DE CUYO MENDOZA,-33.1707848,-68.9198186,1
BODEGA MELIPAL,RUTA 7 KM.1056,S/N,AGRELO,LUJAN DE CUYO,5248040,VIÂ¥AS FAMILIA ARISTI S.A.,info@bodegamelipal.com,BODEGA MELIPAL LUJAN DE CUYO MENDOZA,-33.1054374,-68.9015333,1
BODEGA Y VIÂ¥EDO FAMILIA GIAQUINTA,CARRIL ZAPATA,S/N,LA ARBOLEDA,TUPUNGATO,02622-488090,GIAQUINTA HNOS. S.R.L.,info@familiagiaquinta.com.ar,BODEGA Y VIÂ¥EDO FAMILIA GIAQUINTA TUPUNGATO MENDOZA,-33.3759737,-69.0979779,3
PULENTA ESTATE,RUTA 86,"KM.6,5",ALTO AGRELO,LUJAN DE CUYO,4200800,BODEGAS Y VIÂ¥EDOS HUGO Y EDUARDO PULENTA S.A.,info@pulentaestate.com,PULENTA ESTATE LUJAN DE CUYO MENDOZA,-33.1962909,-68.9560207,1
BODEGAS SALENTEIN/KILLKA,RUTA 89,S/N,LOS ARBOLES,TUNUYAN,4411000,BODEGAS SALENTEIN,,BODEGAS SALENTEIN/KILLKA TUNUYAN MENDOZA,-33.4942221,-69.2429096,3
OSCAR ALBERTO CECCHIN,MANUEL A.SAENZ,626,RUSSEL,MAIPU,4976707,"CECCHIN, OSCAR ALBERTO",,OSCAR ALBERTO CECCHIN MAIPU MENDOZA,-33.0078166,-68.8042755,1
BODEGA TAPIZ,RUTA 15 KM.32,S/N,AGRELO,LUJAN DE CUYO,4900202,FINCAS PATAGONICAS S.A.,turismo@tapiz.com.ar,BODEGA TAPIZ LUJAN DE CUYO MENDOZA,-33.0070052,-68.8294666,1
BODEGA SEPTIMA,"RUTA 7 KM.6,5",S/N,AGRELO,LUJAN DE CUYO,4989550,CODORNIU ARGENTINA S.A.,septimaturismo@codorniu.com,BODEGA SEPTIMA LUJAN DE CUYO MENDOZA,-33.0937117,-68.9461163,1
BODEGA ANDELUNA,RUTA PROV.89,S/N,,TUPUNGATO,155103284,ANDELUNA CELLAR S.R.L.,turismo@andeluna.com.ar,BODEGA ANDELUNA TUPUNGATO MENDOZA,-33.455505,-69.21215,3
TUPUNGATO DIVINO,LOS EUROPEOS,S/N,GUALTALLARY,TUPUNGATO,153170056,"VIEGAS, SERGIO",,TUPUNGATO DIVINO TUPUNGATO MENDOZA,-33.431083,-69.2037741,3
BODEGA IACCARINI,ZARDINBI,5705,LAS PAREDES,SAN RAFAEL,0260-154481300,FINCA DON NICASIO S.A.,,BODEGA IACCARINI SAN RAFAEL MENDOZA,-34.5325299,-68.4243129,0
BODEGA ALFREDO ROCA,RUTA PROV.165,S/N,CAÂ¥ADA SECA,SAN RAFAEL,Ã¿0260-4497250,ROCA S.A.,roca@rocawines.com,BODEGA ALFREDO ROCA SAN RAFAEL MENDOZA,-34.676265,-68.242363,0
VIÂ¥A EL CERNO,PERITO MORENO,631,COQUIMBITO,MAIPU,4811567,VIÂ¥A EL CERNO S.A.,elcerno@elcerno-wines.com.ar,VIÂ¥A EL CERNO MAIPU MENDOZA,-33.0024105,-68.7499407,1
CASA BIANCHI,RUTA 143 Y CALLE VALENTIN BIANCHI,S/N,LAS PAREDES,SAN RAFAEL,0260-4449600 INT.211,VALENTIN BIANCHI S.A.C.I.F.,,CASA BIANCHI SAN RAFAEL MENDOZA,-34.623994,-68.3263389,0
BODEGA LUIGI BOSCA/FAMILIA ARIZU,SAN MARTIN,2044,MAYOR DRUMOND,LUJAN DE CUYO,4981974,LEONCIO ARIZU S.A.,turismo@luigibosca.com,BODEGA LUIGI BOSCA/FAMILIA ARIZU LUJAN DE CUYO MENDOZA,-33.01957,-68.8730999,1
BODEGA CLOS DE CHACRAS,MONTE LIBANO,1025,CHACRAS DE CORIA,LUJAN DE CUYO,4961285,ESTABLECIMIENTO PUNTA AZUL S.A.,florencia@closdechacras.com.ar,BODEGA CLOS DE CHACRAS LUJAN DE CUYO MENDOZA,-32.9825518,-68.876687,1
CASA DEL VISITANTE,RUTA PROV.33,"KM.7,5",FRAY LUIS BELTRAN,MAIPU,4410000,VIÂ¥A SANTA JULIA S.A.,,CASA DEL VISITANTE MAIPU MENDOZA,-32.9681887,-68.5695456,1
PAN Y OLIVA,RUTA PROV.33,S/N,BELTRAN,MAIPU,4410000,VIÂ¥A SANTA JULIA S.A.,,PAN Y OLIVA MAIPU MENDOZA,-32.9663067,-68.583721,1
BODEGA LA AZUL,RUTA PROV.89,S/N,TUPUNGATO,TUPUNGATO,02622-423593,BODEGA LA AZUL S.A.,,BODEGA LA AZUL TUPUNGATO MENDOZA,-33.469285,-69.2208854,3
BODEGA LAGARDE,AV.SAN MARTIN,1745,MAYOR DRUMOND,LUJAN DE CUYO,4980011,LAGARDE S.A.,,BODEGA LAGARDE LUJAN DE CUYO MENDOZA,-33.0232799,-68.8725847,1
ALGODÃ N WINE ESTATES,RUTA NAC.144,KM.674,CUADRO BENEGAS,SAN RAFAEL,0260-4429020,ALGODÃ N WINE ESTATES S.R.L.,turismo@algodonwineestates.com,ALGODÃ N WINE ESTATES SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
MASI TUPUNGATO,L.PIZZARRO,S/N,LA ARBOLEDA,TUPUNGATO,156539573,MASI TUPUNGATO VIGNETI LA ARBOLEDA S.A.,,MASI TUPUNGATO TUPUNGATO MENDOZA,-33.3835195,-69.0641314,3
BODEGA CRUZAT,COSTA FLORES,S/N,PERDRIEL,LUJAN DE CUYO,5242290,VINIFICADORA ACONCAGUA S.A.,info@bodegacruzat.com,BODEGA CRUZAT LUJAN DE CUYO MENDOZA,-33.075088,-68.9242104,1
